MIN,TOV,RANK,REB,PLAYER_ID,FG3A,AST,FG3M,OREB,FGM,TEAM,PTS,FGA,GP,STL,FTA,PLAYER,BLK,DREB,FTM,EFF,FT_PCT,FG_PCT,FG3_PCT
29.9,2.11,76,4.7,203935,4.1,4.7,1.6,1.3,2.6,BOS,8.6,7.4,18,1.5,2.8,Marcus Smart,0.89,3.4,1.8,12.5,0.64,0.351,0.397
26.5,1.17,77,4.2,203516,3.2,1.2,1.0,1.3,2.7,MEM,8.3,6.3,6,0.83,2.3,James Ennis III,0.33,2.8,2.0,9.7,0.857,0.421,0.316
31.2,1.17,78,8.3,202684,0.0,1.4,0.0,3.8,3.0,CLE,8.2,5.1,18,0.5,3.3,Tristan Thompson,0.72,4.5,2.2,14.8,0.667,0.587,0.0
31.5,1.31,79,11.0,101162,0.0,1.8,0.0,4.0,3.6,WAS,8.1,7.2,13,0.38,1.4,Marcin Gortat,1.54,7.0,0.8,17.5,0.611,0.505,0.0
27.1,0.67,80,2.3,2747,4.4,0.7,2.2,0.3,2.8,CLE,8.1,5.5,18,0.72,0.6,JR Smith,0.33,2.1,0.3,8.4,0.455,0.505,0.5
26.2,1.83,81,10.7,2730,0.0,1.3,0.0,3.0,3.0,ATL,8.0,6.0,6,1.0,3.2,Dwight Howard,0.83,7.7,2.0,15.8,0.632,0.5,0.0
31.4,0.8,81,6.8,203500,0.0,1.4,0.0,3.4,3.6,OKC,8.0,5.6,5,1.2,2.2,Steven Adams,1.8,3.4,0.8,15.0,0.364,0.643,0.0
21.2,1.4,83,2.1,202709,2.2,3.1,0.9,0.4,3.1,TOR,7.9,7.1,10,0.4,0.8,Cory Joseph,0.2,1.7,0.8,8.3,1.0,0.437,0.409
27.3,1.06,84,3.6,201980,4.8,1.4,1.6,0.8,2.8,SAS,7.8,6.9,16,0.63,0.9,Danny Green,0.94,2.8,0.5,8.8,0.571,0.405,0.342
22.8,1.13,85,7.1,2200,1.1,1.9,0.4,2.4,3.1,SAS,7.7,7.1,16,0.44,1.5,Pau Gasol,0.94,4.7,1.1,12.6,0.708,0.439,0.333
26.5,1.17,86,2.0,203521,2.7,2.0,1.0,0.2,2.7,MIL,7.7,6.8,6,0.17,1.7,Matthew Dellavedova,0.0,1.8,1.3,6.2,0.8,0.39,0.375
32.0,0.43,87,4.9,201601,2.3,1.0,0.7,1.4,2.4,LAC,7.6,6.1,7,1.14,2.9,Luc Mbah a Moute,0.57,3.4,2.0,10.1,0.7,0.395,0.313
20.5,0.36,88,5.5,202324,0.0,0.9,0.0,1.4,3.3,UTA,7.5,5.6,11,0.73,2.1,Derrick Favors,0.55,4.1,1.0,11.4,0.478,0.581,0.0
14.8,0.54,89,1.5,101123,3.5,0.7,1.6,0.2,2.6,BOS,7.5,5.5,13,0.23,0.7,Gerald Green,0.08,1.4,0.6,6.5,0.889,0.472,0.467
19.7,0.67,90,3.3,203210,2.7,0.3,1.2,0.5,2.8,MEM,7.3,6.0,6,0.0,0.5,JaMychal Green,0.0,2.8,0.5,7.2,1.0,0.472,0.438
22.7,1.17,90,3.5,1627835,2.7,0.5,1.0,0.5,2.5,CHI,7.3,5.5,6,0.17,1.3,Paul Zipser,0.17,3.0,1.3,7.5,1.0,0.455,0.375
20.5,0.5,92,2.0,101139,4.0,0.3,1.3,1.0,2.8,IND,7.3,6.0,4,0.5,0.5,CJ Miles,0.25,1.0,0.5,6.5,1.0,0.458,0.313
14.8,1.0,92,3.5,202338,0.0,1.0,0.0,2.0,3.0,IND,7.3,6.5,4,0.0,1.8,Kevin Seraphin,0.5,1.5,1.3,7.3,0.714,0.462,0.0
24.8,0.25,92,3.3,203090,3.0,0.8,0.5,1.8,2.5,POR,7.3,8.5,4,1.25,2.0,Maurice Harkless,1.25,1.5,1.8,7.3,0.875,0.294,0.167
26.2,1.0,95,4.1,2738,2.6,3.2,0.5,0.6,2.9,GSW,7.2,6.3,16,0.88,1.6,Andre Iguodala,0.44,3.5,0.9,10.6,0.577,0.455,0.19
13.7,0.69,96,1.6,203546,2.3,0.7,0.8,0.3,2.5,GSW,6.8,4.9,16,0.38,1.1,Ian Clark,0.0,1.4,1.0,6.3,0.941,0.506,0.361
11.8,0.0,97,1.0,203894,2.8,0.8,1.3,0.3,2.0,POR,6.8,4.8,4,0.5,2.0,Shabazz Napier,0.0,0.8,1.5,5.8,0.75,0.421,0.455
20.2,1.0,98,6.0,1626171,2.2,1.2,1.0,0.8,2.8,CHI,6.7,5.5,6,0.5,0.0,Bobby Portis,0.5,5.2,0.0,11.2,0.0,0.515,0.462
17.8,0.75,99,2.4,1938,2.5,2.4,0.6,0.6,2.5,SAS,6.6,6.1,16,1.0,1.4,Manu Ginobili,0.13,1.8,1.1,7.9,0.739,0.412,0.225
14.0,0.43,100,2.9,201578,2.9,0.4,1.0,0.6,2.3,LAC,6.6,5.3,7,0.29,1.4,Marreese Speights,0.43,2.3,1.0,6.7,0.7,0.432,0.35
19.8,0.5,101,1.8,1626150,2.2,2.2,0.8,0.7,2.2,MEM,6.5,4.8,6,0.5,1.5,Andrew Harrison,0.17,1.2,1.3,7.8,0.889,0.448,0.385
30.3,1.45,102,3.7,204060,3.7,3.3,1.4,0.2,2.3,UTA,6.5,5.6,11,2.0,0.8,Joe Ingles,0.45,3.5,0.5,10.8,0.667,0.403,0.366
17.2,1.0,103,2.8,202714,1.7,2.0,0.8,0.3,1.9,UTA,6.0,5.4,9,0.44,1.7,Shelvin Mack,0.0,2.4,1.4,6.4,0.867,0.347,0.467
9.3,0.5,104,3.0,201580,0.0,0.3,0.0,1.4,2.6,GSW,5.9,3.5,16,0.13,1.1,JaVale McGee,0.94,1.6,0.8,8.5,0.722,0.732,0.0
15.3,0.58,105,2.3,1626162,2.5,0.3,0.9,0.8,2.2,WAS,5.8,5.1,12,0.83,0.8,Kelly Oubre Jr.,0.42,1.6,0.6,6.0,0.7,0.426,0.367
18.1,0.39,105,1.7,2594,3.8,0.7,1.5,0.1,1.9,CLE,5.8,4.4,18,0.39,0.6,Kyle Korver,0.28,1.6,0.6,5.9,1.0,0.425,0.391
19.3,1.33,105,3.2,1627748,1.7,2.0,0.3,1.3,2.0,MIL,5.8,5.2,6,0.83,1.8,Thon Maker,1.83,1.8,1.5,8.8,0.818,0.387,0.2
18.5,1.27,108,1.9,2564,1.3,2.0,0.5,0.3,2.2,UTA,5.7,4.4,11,0.64,0.9,Boris Diaw,0.36,1.6,0.8,7.1,0.9,0.5,0.429
16.3,0.59,109,2.6,1626179,2.2,1.9,0.8,0.7,1.9,BOS,5.6,4.8,17,0.65,1.2,Terry Rozier,0.24,1.9,0.9,7.3,0.8,0.402,0.368
18.1,0.43,110,1.4,101109,1.3,1.4,0.6,0.3,2.1,LAC,5.6,4.6,7,0.86,0.7,Raymond Felton,0.0,1.1,0.7,6.4,1.0,0.469,0.444
13.0,0.47,111,3.1,203937,0.7,1.7,0.2,0.8,2.4,SAS,5.5,4.3,15,0.67,0.7,Kyle Anderson,0.13,2.3,0.5,8.5,0.727,0.563,0.3
23.0,0.25,112,3.0,203459,3.3,0.5,0.8,0.0,2.3,POR,5.5,6.0,4,0.25,0.8,Allen Crabbe,0.0,3.0,0.3,4.8,0.333,0.375,0.231
19.0,1.0,112,2.0,101145,2.0,1.3,0.5,0.3,2.0,IND,5.5,5.0,4,0.5,1.3,Monta Ellis,0.25,1.8,1.0,5.3,0.8,0.4,0.25
15.7,0.71,114,2.1,2733,0.0,1.4,0.0,0.7,2.4,GSW,5.2,4.2,14,0.36,0.5,Shaun Livingston,0.14,1.4,0.4,6.6,0.714,0.576,0.0
14.1,0.93,115,3.8,2585,0.1,0.8,0.0,1.2,2.1,GSW,5.1,4.0,15,0.53,1.1,Zaza Pachulia,0.27,2.6,0.9,7.5,0.765,0.533,0.0
13.2,0.2,116,1.0,203926,2.6,0.2,1.4,0.0,1.8,OKC,5.0,3.6,5,0.2,0.0,Doug McDermott,0.2,1.0,0.0,4.6,0.0,0.5,0.538
10.3,0.0,116,1.0,203922,0.7,0.3,0.7,0.0,2.0,IND,5.0,2.0,3,0.0,0.7,Glenn Robinson III,0.0,1.0,0.3,6.0,0.5,1.0,1.0
12.6,0.76,116,2.1,1627759,1.4,0.8,0.3,0.7,2.0,BOS,5.0,4.2,17,0.35,1.1,Jaylen Brown,0.12,1.4,0.7,5.1,0.667,0.479,0.217
25.1,0.8,116,5.7,200782,2.8,1.1,0.9,1.5,1.8,TOR,5.0,4.9,10,0.6,0.8,PJ Tucker,0.3,4.2,0.5,8.5,0.625,0.367,0.321
16.0,0.0,120,1.8,203518,3.4,0.8,1.0,0.4,1.6,OKC,4.8,4.6,5,0.0,0.8,Alex Abrines,0.0,1.4,0.6,4.2,0.75,0.348,0.294
9.0,0.4,120,1.8,202683,0.0,0.2,0.0,0.6,2.0,OKC,4.8,5.2,5,0.0,0.8,Enes Kanter,0.8,1.2,0.8,4.0,1.0,0.385,0.0
25.0,1.5,122,7.3,203943,0.0,2.0,0.0,2.3,2.0,POR,4.5,4.5,4,0.25,1.3,Noah Vonleh,0.75,5.0,0.5,10.0,0.4,0.444,0.0
13.0,0.59,123,2.7,2561,0.1,2.1,0.1,0.4,2.0,GSW,4.5,3.5,17,0.41,0.5,David West,0.76,2.3,0.4,8.3,0.778,0.576,0.5
16.2,0.35,124,2.8,202697,1.5,0.9,0.6,0.4,1.5,CLE,4.4,3.5,17,0.59,1.0,Iman Shumpert,0.18,2.4,0.8,6.2,0.824,0.417,0.385
14.6,0.94,125,1.3,101114,1.7,2.1,0.7,0.2,1.6,CLE,4.3,3.6,18,0.56,0.6,Deron Williams,0.06,1.1,0.6,5.3,0.909,0.438,0.387
12.5,0.67,125,1.3,101181,2.0,2.2,0.7,0.3,1.8,ATL,4.3,3.8,6,0.33,0.0,Jose Calderon,0.17,1.0,0.0,5.7,0.0,0.478,0.333
15.5,0.5,127,2.7,201960,2.2,0.5,0.7,0.4,1.5,TOR,4.2,3.7,10,0.8,0.9,DeMarre Carroll,0.5,2.3,0.5,5.6,0.556,0.405,0.318
16.3,0.4,128,3.8,101135,0.1,0.7,0.0,1.3,1.7,SAS,4.1,3.2,15,0.27,1.1,David Lee,0.33,2.5,0.7,6.9,0.647,0.521,0.0
12.1,0.2,128,2.2,1627775,1.5,1.1,0.5,0.7,1.4,GSW,4.1,3.2,15,0.6,0.9,Patrick McCaw,0.2,1.5,0.7,6.0,0.846,0.438,0.348
15.0,0.83,130,5.2,101141,0.8,0.3,0.2,2.3,1.3,ATL,4.0,3.8,6,0.17,1.5,Ersan Ilyasova,0.0,2.8,1.2,6.0,0.778,0.348,0.2
12.8,0.57,131,1.8,2210,1.4,0.5,0.4,0.7,1.1,CLE,3.9,2.7,14,0.14,2.0,Richard Jefferson,0.21,1.1,1.3,3.7,0.643,0.421,0.263
12.1,0.77,132,2.2,201160,0.8,0.3,0.2,0.8,1.5,WAS,3.9,3.0,13,0.15,1.1,Jason Smith,0.54,1.5,0.8,4.5,0.714,0.487,0.3
17.7,0.33,133,1.5,1627782,1.8,1.2,0.3,0.5,1.5,MEM,3.8,4.3,6,0.17,0.7,Wayne Selden,0.17,1.0,0.5,3.5,0.75,0.346,0.182
8.1,0.67,134,3.9,203473,0.0,0.3,0.0,1.8,1.2,SAS,3.8,1.9,12,0.17,2.7,Dewayne Dedmon,0.25,2.2,1.4,5.7,0.531,0.609,0.0
18.5,0.6,135,2.0,202335,2.6,2.0,0.8,0.1,1.0,TOR,3.4,3.6,10,0.7,0.6,Patrick Patterson,0.2,1.9,0.6,5.1,1.0,0.278,0.308
10.4,1.4,136,0.8,1626170,1.8,1.0,0.2,0.0,1.2,CHI,3.2,4.6,5,0.4,0.6,Jerian Grant,0.0,0.8,0.6,0.6,1.0,0.261,0.111
13.7,1.17,137,4.3,1626245,0.0,0.3,0.0,1.2,1.5,CHI,3.2,2.5,6,0.5,0.3,Cristiano Felicio,0.33,3.2,0.2,6.3,0.5,0.6,0.0
14.4,0.57,138,2.0,1718,1.4,1.0,0.6,0.3,1.1,LAC,3.0,2.6,7,0.29,0.1,Paul Pierce,0.0,1.7,0.1,4.3,1.0,0.444,0.4
13.7,0.62,139,1.5,201943,1.0,1.8,0.2,0.4,1.1,WAS,2.8,2.8,13,0.15,0.6,Brandon Jennings,0.0,1.1,0.5,3.9,0.875,0.389,0.154
13.5,0.17,140,2.7,203488,0.7,0.3,0.0,1.0,0.8,ATL,2.8,3.0,6,0.17,1.3,Mike Muscala,0.5,1.7,1.2,4.0,0.875,0.278,0.0
10.6,1.2,141,0.8,203487,0.2,1.2,0.0,0.2,1.2,CHI,2.8,3.0,5,0.4,0.8,Michael Carter-Williams,0.2,0.6,0.4,2.0,0.5,0.4,0.0
10.2,0.56,142,1.4,1626153,0.7,1.4,0.2,0.4,1.0,TOR,2.8,1.9,9,0.44,0.8,Delon Wright,0.11,1.0,0.6,4.6,0.714,0.529,0.333
8.6,0.46,143,1.5,202722,1.5,0.2,0.6,0.4,0.9,SAS,2.8,2.1,13,0.23,0.5,Davis Bertans,0.31,1.2,0.3,3.3,0.667,0.444,0.4
10.1,0.43,144,2.1,101161,0.2,0.2,0.1,1.2,1.1,BOS,2.6,2.1,14,0.29,0.6,Amir Johnson,0.43,0.9,0.4,3.9,0.625,0.5,0.333
6.7,0.33,145,0.8,203526,0.7,0.4,0.3,0.0,0.9,UTA,2.6,1.4,9,0.11,0.4,Raul Neto,0.11,0.8,0.4,3.1,1.0,0.615,0.5
11.3,0.33,146,1.3,1891,1.7,0.8,0.3,0.3,1.0,MIL,2.5,3.0,6,0.5,0.2,Jason Terry,0.17,1.0,0.2,3.0,1.0,0.333,0.2
8.0,0.0,147,2.3,1626192,2.0,1.3,0.0,0.3,0.7,POR,2.3,3.0,3,0.0,1.0,Pat Connaughton,0.0,2.0,1.0,3.7,1.0,0.222,0.0
8.8,1.0,148,0.8,2399,0.8,0.3,0.3,0.2,0.5,ATL,2.0,1.2,6,0.17,0.7,Mike Dunleavy,0.0,0.7,0.7,1.7,1.0,0.429,0.4
4.3,0.08,149,1.0,203949,0.4,0.0,0.2,0.4,0.7,GSW,1.8,1.3,13,0.15,0.5,James Michael McAdoo,0.15,0.6,0.3,2.3,0.667,0.529,0.4
11.3,0.33,150,0.8,203584,1.5,0.3,0.5,0.2,0.5,MEM,1.5,1.5,6,0.33,0.0,Troy Daniels,0.0,0.7,0.0,1.7,0.0,0.333,0.333
6.3,0.5,151,0.3,202708,1.0,0.3,0.3,0.0,0.5,OKC,1.3,2.0,4,0.0,0.0,Norris Cole,0.25,0.3,0.0,0.0,0.0,0.25,0.25
3.6,0.2,152,0.5,203107,0.0,0.6,0.0,0.1,0.3,WAS,0.8,0.6,10,0.1,0.5,Tomas Satoransky,0.0,0.4,0.2,1.2,0.4,0.5,0.0
10.3,1.33,153,2.7,203086,1.3,0.3,0.0,0.7,0.3,POR,0.7,1.7,3,0.0,0.0,Meyers Leonard,0.0,2.0,0.0,1.0,0.0,0.2,0.0
3.7,0.33,154,0.7,202730,0.0,0.0,0.0,0.0,0.0,IND,0.0,0.0,3,0.0,0.0,Lavoy Allen,0.0,0.7,0.0,0.3,0.0,0.0,0.0
